model-year,brand,transmission,gear,fuel-type
2023,Acura,AS,8,Z
2023,Acura,AM,10,Z
2023,Acura,AM,10,Z
2023,Acura,AM,10,Z
2023,Acura,AS,7,Z
2023,Alfa Romeo,A,8,Z
2023,Alfa Romeo,A,7,Z
2023,Alfa Romeo,A,7,Z
2023,Alfa Romeo,A,8,Z
2023,Alfa Romeo,A,7,Z
2023,Aston martin,A,9,Z
2023,Aston martin,A,8,Z
2023,Aston martin,A,8,Z
2023,Aston martin,A,9,Z
2023,Aston martin,A,9,Z
2023,Audi,AM,7,Z
2023,Audi,AS,8,Z
2023,Audi,AS,8,Z
2023,Audi,AM,7,Z
2023,Audi,AM,7,Z
2023,Bentley,AS,8,Z
2023,Bentley,AM,9,Z
2023,Bentley,AS,8,Z
2023,Bentley,AM,8,Z
2023,Bentley,AM,8,Z
2023,BMW,M,6,Z
2023,BMW,AS,8,Z
2023,BMW,AS,8,Z
2023,BMW,AS,8,Z
2023,BMW,AS,8,Z
2023,Bugati,AM,7,Z
2023,Bugati,AM,6,Z
2023,Bugati,AM,7,Z
2023,Bugati,AM,7,Z
2023,Bugati,AM,6,Z
2023,Buick,A,9,X
2023,Buick,AS,8,X
2023,Buick,AV,,X
2023,Buick,AS,8,X
2023,Buick,AV,,X
2023,Cadillac,AS,10,X
2023,Cadillac,AS,9,X
2023,Cadillac,AS,9,X
2023,Cadillac,M,6,X
2023,Cadillac,AS,10,X
2023,Chevrolet,A,8,X
2023,Chevrolet,A,10,D
2023,Chevrolet,AS,8,X
2023,Chevrolet,AS,9,X
2023,Chevrolet,M,7,X
2023,Chevrolet,A,6,X
2023,Chrysler,A,8,X
2023,Chrysler,A,8,X
2023,Chrysler,A,8,X
2023,Chrysler,A,9,X
2023,Chrysler,A,9,X
2023,Dodge,A,8,X
2023,Dodge,A,8,X
2023,Dodge,A,8,Z
2023,Dodge,A,8,X
2023,Dodge,A,8,X
2023,Ford,AS,10,X
2023,Ford,A,9,X
2023,Ford,AS,10,X
2023,Ford,A,9,X
2023,Ford,A,9,X
2023,Genesis,A,8,Z
2023,Genesis,A,8,Z
2023,Genesis,A,8,Z
2023,Genesis,A,8,Z
2023,Genesis,A,8,Z
2023,GMC,A,10,D
2023,GMC,A,6,D
2023,GMC,A,9,X
2023,GMC,A,8,X
2023,GMC,A,6,D
2023,Honda,AV,7,X
2023,Honda,AV,,X
2023,Honda,AS,10,X
2023,Honda,AS,9,X
2023,Honda,AV,7,X
2023,Hyundai,AM,8,Z
2023,Hyundai,AM,6,X
